"","lon","lat","HUNDRED_BLOCK","count","address"
"220",-122.8456282,49.1407871,"KING GEORGE BLVD / 76TH AVE",91,"KING GEORGE BLVD / 76TH AVE Surrey"
"221",-122.8009668,49.1842033,"100TH AVE / 152ND ST",90,"100TH AVE / 152ND ST Surrey"
"222",-122.8447011,49.1554508,"13600 84TH AVE",90,"13600 84TH AVE Surrey"
"223",-122.8417383,49.1861215,"13700 101ST AVE",90,"13700 101ST AVE Surrey"
"224",-122.8455318,49.1262414,"6800 KING GEORGE BLVD",90,"6800 KING GEORGE BLVD Surrey"
"225",-122.7348502,49.1114495,"6000 176TH ST",89,"6000 176TH ST Surrey"
"226",-122.8680816,49.1482197,"80TH AVE / 128TH ST",89,"80TH AVE / 128TH ST Surrey"
"227",-122.8867584,49.1507227,"8100 121A ST",89,"8100 121A ST Surrey"
"228",-122.8483399,49.2025657,"13500 HILTON RD",88,"13500 HILTON RD Surrey"
"229",-122.8386006,49.1372403,"7400 138TH ST",88,"7400 138TH ST Surrey"
"230",-122.8122772,49.1841227,"14800 100TH AVE",87,"14800 100TH AVE Surrey"
"231",-122.8011661,49.1336432,"152ND ST / 72ND AVE",87,"152ND ST / 72ND AVE Surrey"
"232",-122.79539,49.047892,"2500 KING GEORGE BLVD",87,"2500 KING GEORGE BLVD Surrey"
"233",-122.8457043,49.1261844,"68TH AVE / KING GEORGE BLVD",87,"68TH AVE / KING GEORGE BLVD Surrey"
"234",-122.8456278,49.1396832,"7600 KING GEORGE BLVD",87,"7600 KING GEORGE BLVD Surrey"
"235",-122.8284677,49.1765066,"FRASER HWY / 96TH AVE",87,"FRASER HWY / 96TH AVE Surrey"
"236",-122.8004927,49.1969965,"10700 GUILDFORD DR",86,"10700 GUILDFORD DR Surrey"
"237",-122.8674434,49.2064008,"128TH ST / KING GEORGE BLVD",86,"128TH ST / KING GEORGE BLVD Surrey"
"238",-122.799978,49.196644,"15200 GUILDFORD DR",86,"15200 GUILDFORD DR Surrey"
"239",-122.7014081,49.1266122,"6800 188TH ST",86,"6800 188TH ST Surrey"
"240",-122.8556519,49.1874245,"13200 OLD YALE RD",85,"13200 OLD YALE RD Surrey"
"241",-122.8015659,49.1627892,"88TH AVE / 152ND ST",85,"88TH AVE / 152ND ST Surrey"
"242",-122.8036949,49.1821804,"9900 151ST ST",85,"9900 151ST ST Surrey"
"243",-122.8454059,49.1842491,"100TH AVE / KING GEORGE BLVD",84,"100TH AVE / KING GEORGE BLVD Surrey"
"244",-122.8232639,49.1337855,"72ND AVE / 144TH ST",84,"72ND AVE / 144TH ST Surrey"
